date,category,amount,description
2026-01-03,Food,1250,ATB
2026-01-04,Transport,300,Metro
2026-01-05,Entertainment,2500,Movies with friends
2026-01-06,Food,890,Lunch cafe
2026-01-07,Utilities,4500,Apartment payment
2026-01-08,Transport,150,Bus
2026-01-09,Food,2100,Weekly groceries
2026-01-10,Clothing,3400,Jacket
2026-01-11,Entertainment,1200,Bowling
2026-01-12,Transport,300,Metro
2026-01-13,Food,650,Snack
2026-01-14,Health,900,Pharmacy
2026-01-15,Food,1800,Restaurant
2026-01-16,Transport,300,Metro
2026-01-17,Entertainment,800,Netflix subscription
2026-01-18,Food,1100,Groceries
2026-01-19,Transport,450,Taxi
2026-01-20,Utilities,1200,Internet
2026-01-21,Food,700,Cafe
2026-01-22,Clothing,5600,Sneakers
2026-01-23,Transport,300,Metro
2026-01-24,Entertainment,1500,Concert
2026-01-25,Food,2300,Weekly groceries
2026-01-26,Health,1500,Doctor
2026-01-27,Transport,300,Metro
2026-01-28,Food,950,Lunch
2026-01-29,Entertainment,600,Steam game
2026-01-30,Utilities,4500,Apartment payment
2026-01-31,Food,1400,Groceries
2026-02-01,Transport,300,Metro
2026-02-02,Clothing,2200,T-shirts
2026-02-03,Food,1050,Cafe
2026-02-04,Entertainment,900,Movie
2026-02-05,Health,600,Vitamins
2026-02-06,Transport,300,Metro
2026-02-07,Food,1900,Weekly groceries
